FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.5747764110565186,0.35620400309562683,0.010548394918441771,0.612906813621521,0.40796613693237305,0,0.623216986656189,0.4716716706752777,0.003516131639480591,0.5425841808319092,0.40765905380249023,0,0.5274507999420166,0.4768403172492981,0.003516131639480591,0.6361263990402222,0.5367777347564697,0.005274197459220887,0.526090681552887,0.5192198753356934,0.005274197459220887,0.5974180102348328,0.5368766188621521,-0.0017580658197402955,0.5457488298416138,0.5368409752845764,-0.0017580658197402955,0.602738082408905,0.647294819355011,-0.003516131639480591,0.5411038398742676,0.6471515893936157,-0.003516131639480591,0.6128301620483398,0.742297351360321,-0.003516131639480591,0.54386305809021,0.7454720735549927,-0.003516131639480591
5,0.5731977820396423,0.35621970891952515,0.01005290150642395,0.609842836856842,0.40969961881637573,0,0.6232774257659912,0.47201818227767944,0.0033509671688079835,0.5428234934806824,0.41546881198883057,0,0.5250251293182373,0.47974643111228943,0.0033509671688079835,0.6403976678848267,0.5294831991195679,0.0050264507532119754,0.509516716003418,0.5124737024307251,0.0050264507532119754,0.5928550958633423,0.5386594533920288,-0.0016754835844039917,0.5431055426597595,0.5363022089004517,-0.0016754835844039917,0.600112795829773,0.6472925543785095,-0.0033509671688079835,0.5407767295837402,0.6444108486175537,-0.0033509671688079835,0.6113875508308411,0.7405792474746704,-0.0033509671688079835,0.5433547496795654,0.7456356287002563,-0.0033509671688079835
10,0.5726065039634705,0.3613109290599823,0.011018979549407958,0.6130708456039429,0.4107169508934021,0,0.6410136818885803,0.4600140452384949,0.0036729931831359867,0.5396109819412231,0.40791329741477966,0,0.5054946541786194,0.4624468982219696,0.0036729931831359867,0.6706513166427612,0.4794343113899231,0.00550948977470398,0.4715855121612549,0.48126792907714844,0.00550948977470398,0.6011395454406738,0.5339168310165405,-0.0018364965915679933,0.5458997488021851,0.5348731875419617,-0.0018364965915679933,0.6005401611328125,0.6401523351669312,-0.0036729931831359867,0.5456900596618652,0.6402100324630737,-0.0036729931831359867,0.6130492091178894,0.7394418716430664,-0.0036729931831359867,0.544983983039856,0.7479385137557983,-0.0036729931831359867
15,0.5655502676963806,0.3621326684951782,0.010710328817367554,0.6033228039741516,0.40084895491600037,0,0.654873788356781,0.3929598033428192,0.0035701096057891846,0.5319206118583679,0.4026419520378113,0,0.4899888038635254,0.39479586482048035,0.0035701096057891846,0.6839107871055603,0.33866775035858154,0.005355164408683777,0.4765673279762268,0.3278425633907318,0.005355164408683777,0.5999385118484497,0.5352734327316284,-0.0017850548028945923,0.5519164800643921,0.5334504842758179,-0.0017850548028945923,0.6006584167480469,0.6390994191169739,-0.0035701096057891846,0.543988823890686,0.6448244452476501,-0.0035701096057891846,0.6133602857589722,0.7389013171195984,-0.0035701096057891846,0.5398754477500916,0.7426192760467529,-0.0035701096057891846
20,0.5582746267318726,0.35579150915145874,0.009651991724967956,0.5997954607009888,0.39841827750205994,0,0.6504049897193909,0.3648985028266907,0.003217330574989319,0.5354488492012024,0.40069490671157837,0,0.4905780553817749,0.3765246570110321,0.003217330574989319,0.6761388182640076,0.29289963841438293,0.004825995862483979,0.47682392597198486,0.3005449175834656,0.004825995862483979,0.6000813245773315,0.53675377368927,-0.0016086652874946596,0.5487157702445984,0.5375479459762573,-0.0016086652874946596,0.5999757051467896,0.6471714973449707,-0.003217330574989319,0.5420743823051453,0.6534017324447632,-0.003217330574989319,0.6104434728622437,0.7416819930076599,-0.003217330574989319,0.5416170358657837,0.7443740367889404,-0.003217330574989319
25,0.5648065805435181,0.3523489832878113,0.009477576613426209,0.601366400718689,0.395317018032074,0,0.6560373306274414,0.3434126377105713,0.003159192204475403,0.5381825566291809,0.3993663191795349,0,0.4963904321193695,0.3631835877895355,0.003159192204475403,0.6596722602844238,0.2809959053993225,0.004738788306713104,0.4904342591762543,0.2828737795352936,0.004738788306713104,0.6035754084587097,0.5305488109588623,-0.0015795961022377015,0.5496497750282288,0.531214714050293,-0.0015795961022377015,0.6022325754165649,0.638469934463501,-0.003159192204475403,0.5440877079963684,0.6494252681732178,-0.003159192204475403,0.6149499416351318,0.7400622367858887,-0.003159192204475403,0.5441204309463501,0.7441869974136353,-0.003159192204475403
30,0.5602864623069763,0.3495158553123474,0.009487134218215941,0.6007207036018372,0.39481407403945923,0,0.6385856866836548,0.3540503978729248,0.0031623780727386475,0.5374731421470642,0.3992452323436737,0,0.4962467551231384,0.3535867929458618,0.0031623780727386475,0.6479585766792297,0.28362637758255005,0.0047435671091079715,0.4973640441894531,0.2790120840072632,0.0047435671091079715,0.6051098108291626,0.5344634652137756,-0.0015811890363693238,0.5522774457931519,0.5346951484680176,-0.0015811890363693238,0.6042555570602417,0.6410373449325562,-0.0031623780727386475,0.5452454090118408,0.6522594690322876,-0.0031623780727386475,0.6175814867019653,0.7422458529472351,-0.0031623780727386475,0.5420116782188416,0.7451352477073669,-0.0031623780727386475
35,0.5602266788482666,0.35305067896842957,0.008595272898674011,0.5978125929832458,0.3961220979690552,0,0.6339583396911621,0.3586156964302063,0.0028650909662246704,0.5405107736587524,0.40233367681503296,0,0.49892109632492065,0.352797269821167,0.0028650909662246704,0.64368736743927,0.2894060015678406,0.004297636449337006,0.5029808878898621,0.2814725637435913,0.004297636449337006,0.6035963296890259,0.5319738984107971,-0.0014325454831123352,0.5529905557632446,0.5329706072807312,-0.0014325454831123352,0.6044935584068298,0.6380271315574646,-0.0028650909662246704,0.5460338592529297,0.6496565341949463,-0.0028650909662246704,0.6183639764785767,0.7410987615585327,-0.0028650909662246704,0.5426775217056274,0.7450683116912842,-0.0028650909662246704
40,0.561609148979187,0.3531767725944519,0.008821043372154235,0.5982699394226074,0.39582449197769165,0,0.6330621838569641,0.3644191026687622,0.002940347790718079,0.5394629836082458,0.4018098711967468,0,0.5029664039611816,0.35039421916007996,0.002940347790718079,0.6492952108383179,0.29343101382255554,0.0044105216860771184,0.5056219100952148,0.2789888381958008,0.0044105216860771184,0.6032547950744629,0.5297831892967224,-0.0014701738953590395,0.551068902015686,0.5290759205818176,-0.0014701738953590395,0.6034945249557495,0.6398802399635315,-0.002940347790718079,0.5423359274864197,0.6500136852264404,-0.002940347790718079,0.6155363321304321,0.7419440150260925,-0.002940347790718079,0.5422531366348267,0.7444772720336914,-0.002940347790718079
45,0.5596374273300171,0.3536241054534912,0.00861770510673523,0.5983283519744873,0.396302193403244,0,0.635751485824585,0.3622590899467468,0.0028725683689117434,0.5408769845962524,0.4022541046142578,0,0.5058948397636414,0.34341686964035034,0.0028725683689117434,0.6519834399223328,0.2869960069656372,0.004308852553367615,0.506259560585022,0.2765008211135864,0.004308852553367615,0.5962544679641724,0.5303926467895508,-0.0014362841844558717,0.5512208938598633,0.5321768522262573,-0.0014362841844558717,0.6039239168167114,0.6438766717910767,-0.0028725683689117434,0.541654109954834,0.6533202528953552,-0.0028725683689117434,0.6154261827468872,0.7437595725059509,-0.0028725683689117434,0.5410980582237244,0.7476872801780701,-0.0028725683689117434
50,0.5607679486274719,0.3539702594280243,0.008704376220703124,0.5977206230163574,0.39718303084373474,0,0.6350882053375244,0.3654528558254242,0.002901458740234375,0.5396914482116699,0.40157708525657654,0,0.5102930665016174,0.3450937271118164,0.002901458740234375,0.651206910610199,0.28998491168022156,0.004352188110351563,0.5047173500061035,0.2738099992275238,0.004352188110351563,0.5987463593482971,0.5301618576049805,-0.0014507293701171875,0.5526965260505676,0.5323833227157593,-0.0014507293701171875,0.6047694087028503,0.6460733413696289,-0.002901458740234375,0.5411863923072815,0.6525694727897644,-0.002901458740234375,0.6138743162155151,0.7434210181236267,-0.002901458740234375,0.541750431060791,0.7483036518096924,-0.002901458740234375
55,0.5599664449691772,0.3545343279838562,0.008198386430740357,0.5968273878097534,0.39998161792755127,0,0.6318227648735046,0.3668661117553711,0.0027327954769134524,0.5421714782714844,0.4054914116859436,0,0.5159816145896912,0.34550973773002625,0.0027327954769134524,0.6514986753463745,0.28984230756759644,0.004099193215370178,0.506126344203949,0.271270751953125,0.004099193215370178,0.5994919538497925,0.5338238477706909,-0.0013663977384567262,0.5528050065040588,0.5355880260467529,-0.0013663977384567262,0.6030920147895813,0.6510283350944519,-0.0027327954769134524,0.5416378378868103,0.6571593284606934,-0.0027327954769134524,0.6133559346199036,0.745900571346283,-0.0027327954769134524,0.5422676205635071,0.7486810088157654,-0.0027327954769134524
60,0.5575655102729797,0.35414236783981323,0.009315258264541626,0.5955222845077515,0.3997061848640442,0,0.6401562690734863,0.3581744134426117,0.0031050860881805423,0.5334205627441406,0.40374693274497986,0,0.4974404275417328,0.34606897830963135,0.0031050860881805423,0.6538649797439575,0.28753983974456787,0.004657629132270813,0.5030019879341125,0.2775196135044098,0.004657629132270813,0.6024696826934814,0.533987283706665,-0.0015525430440902711,0.5509842038154602,0.5343461036682129,-0.0015525430440902711,0.600212574005127,0.6389657855033875,-0.0031050860881805423,0.5410749912261963,0.6499389410018921,-0.0031050860881805423,0.6084840297698975,0.7427093386650085,-0.0031050860881805423,0.5395126938819885,0.7459765672683716,-0.0031050860881805423
65,0.5610395073890686,0.361056387424469,0.009000715613365172,0.5969048142433167,0.39782124757766724,0,0.6361687779426575,0.36416202783584595,0.003000238537788391,0.5369000434875488,0.40429216623306274,0,0.498358815908432,0.3439100682735443,0.003000238537788391,0.6529261469841003,0.289287805557251,0.004500357806682587,0.5029903650283813,0.2718086242675781,0.004500357806682587,0.603195071220398,0.5383411645889282,-0.0015001192688941956,0.5502632856369019,0.5379812717437744,-0.0015001192688941956,0.6030689477920532,0.6393120288848877,-0.003000238537788391,0.5407545566558838,0.656826376914978,-0.003000238537788391,0.614733874797821,0.7438085079193115,-0.003000238537788391,0.5389024019241333,0.7457807064056396,-0.003000238537788391
70,0.5605140924453735,0.3710591793060303,0.008400499820709229,0.5970830321311951,0.40943095088005066,0,0.6348028182983398,0.37311017513275146,0.002800166606903076,0.5410796999931335,0.4144609570503235,0,0.49695998430252075,0.35629546642303467,0.002800166606903076,0.6497292518615723,0.292121559381485,0.004200249910354614,0.5066537857055664,0.28463226556777954,0.004200249910354614,0.595117449760437,0.5406622290611267,-0.001400083303451538,0.5521306395530701,0.5416401624679565,-0.001400083303451538,0.6025527715682983,0.6521653532981873,-0.002800166606903076,0.5362169146537781,0.6578419208526611,-0.002800166606903076,0.6123176217079163,0.7461158633232117,-0.002800166606903076,0.5380586385726929,0.7496570348739624,-0.002800166606903076
75,0.5674316883087158,0.37965822219848633,0.009982404112815856,0.6001800894737244,0.4196838140487671,0,0.6319955587387085,0.36838239431381226,0.0033274680376052857,0.5336307287216187,0.42422959208488464,0,0.5027067065238953,0.36089786887168884,0.0033274680376052857,0.6505513191223145,0.2994159460067749,0.004991202056407929,0.5082587003707886,0.28551608324050903,0.004991202056407929,0.6013557314872742,0.5556098222732544,-0.0016637340188026429,0.5537095069885254,0.5554760098457336,-0.0016637340188026429,0.605941653251648,0.6558741331100464,-0.0033274680376052857,0.5355262160301208,0.666926383972168,-0.0033274680376052857,0.6140880584716797,0.7468320727348328,-0.0033274680376052857,0.5388567447662354,0.7435156106948853,-0.0033274680376052857
80,0.5698105096817017,0.3971938490867615,0.008573797345161437,0.597931444644928,0.4325225353240967,0,0.6480041742324829,0.37084290385246277,0.002857932448387146,0.5407727956771851,0.4386634826660156,0,0.49841365218162537,0.3642612397670746,0.002857932448387146,0.6542049646377563,0.308804452419281,0.004286898672580719,0.5039348602294922,0.2929404675960541,0.004286898672580719,0.6027258634567261,0.567536473274231,-0.001428966224193573,0.5536949634552002,0.5678196549415588,-0.001428966224193573,0.6065384149551392,0.6619279384613037,-0.002857932448387146,0.5376555323600769,0.6725456118583679,-0.002857932448387146,0.6124733686447144,0.748039186000824,-0.002857932448387146,0.5422515273094177,0.7445789575576782,-0.002857932448387146
85,0.5701426863670349,0.400681734085083,0.00933210253715515,0.5968888401985168,0.4388413429260254,0,0.6411656737327576,0.395748496055603,0.003110700845718384,0.5346748232841492,0.44492632150650024,0,0.5058870315551758,0.3820304274559021,0.0,0.6507376432418823,0.3144146502017975,0.004666051268577576,0.5038599371910095,0.2951138913631439,0.0,0.6012645959854126,0.5762926340103149,-0.001555350422859192,0.5525164604187012,0.5772227644920349,-0.001555350422859192,0.6050387024879456,0.6645522713661194,-0.003110700845718384,0.5368689298629761,0.6741158962249756,-0.003110700845718384,0.6093555092811584,0.746658980846405,-0.003110700845718384,0.5391944050788879,0.7423083186149597,-0.003110700845718384
