keypoint,x,y,score
nose,0.3496243953704834,0.4794761836528778,0.4933672845363617
left_eye,0.3866046071052551,0.4482263922691345,0.6285861730575562
right_eye,0.3304089903831482,0.4506072998046875,0.4917586147785187
left_ear,0.46379905939102173,0.46273893117904663,0.6539667248725891
right_ear,0.3269267976284027,0.46095573902130127,0.37064263224601746
left_shoulder,0.5582828521728516,0.5603122711181641,0.49102920293807983
right_shoulder,0.30025583505630493,0.595476508140564,0.8092334866523743
left_elbow,0.6737057566642761,0.7572800517082214,0.3237631618976593
right_elbow,0.13271090388298035,0.735549807548523,0.4867350161075592
left_wrist,0.6338834762573242,0.8764409422874451,0.21356812119483948
right_wrist,0.022610990330576897,0.8141191005706787,0.28642264008522034
left_hip,0.5488425493240356,0.9070130586624146,0.33302614092826843
right_hip,0.3809156119823456,0.896018922328949,0.3733779191970825
left_knee,0.4719802141189575,0.8562251329421997,0.13921767473220825
right_knee,0.2571006417274475,0.8768264055252075,0.08559753745794296
left_ankle,0.4681259095668793,0.8751875162124634,0.13690775632858276
right_ankle,0.2958664894104004,0.8562264442443848,0.10547854751348495
