keypoint,x,y,score
nose,0.21721291542053223,0.45796889066696167,0.5289444327354431
left_eye,0.2562221884727478,0.412163108587265,0.572097897529602
right_eye,0.1895630657672882,0.4230995178222656,0.5440168380737305
left_ear,0.3423534631729126,0.41487300395965576,0.5847697257995605
right_ear,0.18823453783988953,0.436046838760376,0.5292329788208008
left_shoulder,0.4670068621635437,0.568715512752533,0.7421668171882629
right_shoulder,0.18283507227897644,0.5996412038803101,0.7143387794494629
left_elbow,0.5254956483840942,0.867863118648529,0.423157662153244
right_elbow,0.02868645265698433,0.8228316307067871,0.40924301743507385
left_wrist,0.3057079315185547,0.8582087755203247,0.1457078456878662
right_wrist,0.05771087110042572,0.8637940287590027,0.143118217587471
left_hip,0.4610207676887512,0.9048789739608765,0.2110326588153839
right_hip,0.28619587421417236,0.8945342898368835,0.2965354919433594
left_knee,0.40060994029045105,0.8527685403823853,0.07171504944562912
right_knee,0.03898981958627701,0.8606480956077576,0.03643887862563133
left_ankle,0.2642771899700165,0.8707327246665955,0.060517486184835434
right_ankle,0.18849977850914001,0.8737951517105103,0.10187352448701859
