keypoint,x,y,score
nose,0.39105844497680664,0.45561856031417847,0.5996652245521545
left_eye,0.4255092144012451,0.42417681217193604,0.6005410552024841
right_eye,0.3696862459182739,0.4261833429336548,0.5829235911369324
left_ear,0.4928264617919922,0.4395911693572998,0.6532122492790222
right_ear,0.3642493188381195,0.4417155683040619,0.6008231043815613
left_shoulder,0.5885165333747864,0.5358116626739502,0.6067217588424683
right_shoulder,0.31618696451187134,0.5692813992500305,0.8139963746070862
left_elbow,0.6618625521659851,0.7764117121696472,0.3867712914943695
right_elbow,0.16242069005966187,0.7211275100708008,0.6554747223854065
left_wrist,0.6058329343795776,0.8843847513198853,0.09161189943552017
right_wrist,0.02864900603890419,0.8214453458786011,0.33027324080467224
left_hip,0.5544562935829163,0.8951460123062134,0.4765811562538147
right_hip,0.3756648898124695,0.8816174268722534,0.4629203975200653
left_knee,0.5064449310302734,0.8591234683990479,0.10504866391420364
right_knee,0.27303194999694824,0.8576488494873047,0.09710656106472015
left_ankle,0.415155827999115,0.8703989386558533,0.06328795850276947
right_ankle,0.31346654891967773,0.8726963400840759,0.04479597136378288
