keypoint,x,y,score
nose,0.4854712188243866,0.4507458209991455,0.6168384552001953
left_eye,0.5144840478897095,0.4278983771800995,0.6378176212310791
right_eye,0.4731937050819397,0.42551562190055847,0.700222373008728
left_ear,0.5661249160766602,0.4503571391105652,0.7568914890289307
right_ear,0.4719958007335663,0.437397837638855,0.5563896298408508
left_shoulder,0.6546944379806519,0.5598117113113403,0.5961241126060486
right_shoulder,0.4056937098503113,0.5612924098968506,0.6735379099845886
left_elbow,0.6545141935348511,0.7661857008934021,0.29195883870124817
right_elbow,0.3740435242652893,0.7492814064025879,0.5205495357513428
left_wrist,0.6055468916893005,0.8817657232284546,0.1835702657699585
right_wrist,0.36818093061447144,0.8680285811424255,0.2514229118824005
left_hip,0.5908976793289185,0.8884949088096619,0.6354973912239075
right_hip,0.42780184745788574,0.8807183504104614,0.4475812017917633
left_knee,0.5595362186431885,0.9013895988464355,0.06061461940407753
right_knee,0.34521806240081787,0.8901448249816895,0.06519332528114319
left_ankle,0.4670366048812866,0.8817662596702576,0.05828431621193886
right_ankle,0.4010435938835144,0.8892968893051147,0.042938873171806335
