keypoint,x,y,score
nose,0.3912234902381897,0.45136725902557373,0.650675892829895
left_eye,0.4273405969142914,0.42172688245773315,0.465425580739975
right_eye,0.37347039580345154,0.42249375581741333,0.5109800100326538
left_ear,0.49538418650627136,0.43815121054649353,0.5564514398574829
right_ear,0.3716706931591034,0.4369649589061737,0.5170490145683289
left_shoulder,0.5971115827560425,0.5392446517944336,0.5929388403892517
right_shoulder,0.3189784586429596,0.5605216026306152,0.7306315302848816
left_elbow,0.6667057275772095,0.7786248922348022,0.3984847366809845
right_elbow,0.16432347893714905,0.7202342748641968,0.6854507923126221
left_wrist,0.592953085899353,0.8851220011711121,0.08900941163301468
right_wrist,0.024501992389559746,0.8309484720230103,0.34027498960494995
left_hip,0.5510910749435425,0.8958997130393982,0.464121013879776
right_hip,0.373279869556427,0.8760986328125,0.5110304355621338
left_knee,0.48739123344421387,0.8447933197021484,0.11893752962350845
right_knee,0.2533119320869446,0.8528935313224792,0.10244058072566986
left_ankle,0.4133646488189697,0.872915506362915,0.06655719131231308
right_ankle,0.2775176167488098,0.8678367137908936,0.062489353120326996
