keypoint,x,y,score
nose,0.47702035307884216,0.4491078853607178,0.629663348197937
left_eye,0.5076156854629517,0.42738327383995056,0.692113995552063
right_eye,0.4685691297054291,0.423954576253891,0.741943895816803
left_ear,0.5606563687324524,0.45162877440452576,0.6334207057952881
right_ear,0.4697442948818207,0.43603432178497314,0.5006139874458313
left_shoulder,0.654808759689331,0.5566389560699463,0.5563769936561584
right_shoulder,0.4036402404308319,0.5652484893798828,0.727067232131958
left_elbow,0.6519180536270142,0.7556132674217224,0.45025303959846497
right_elbow,0.3741843104362488,0.7504318952560425,0.4832902252674103
left_wrist,0.5773931741714478,0.8775335550308228,0.2267247885465622
right_wrist,0.3709840774536133,0.8664199709892273,0.34945785999298096
left_hip,0.5925098657608032,0.8806707859039307,0.6226910352706909
right_hip,0.4350314140319824,0.8757048845291138,0.5913156270980835
left_knee,0.5583697557449341,0.883942723274231,0.08274376392364502
right_knee,0.3565461039543152,0.8777607679367065,0.05648895353078842
left_ankle,0.48765870928764343,0.8865689635276794,0.07996434718370438
right_ankle,0.4232533872127533,0.8889421224594116,0.04760567098855972
