keypoint,x,y,score
nose,0.2896651029586792,0.42300790548324585,0.6791757345199585
left_eye,0.32669055461883545,0.3927020728588104,0.596211314201355
right_eye,0.27472567558288574,0.3948798179626465,0.6299370527267456
left_ear,0.4129316210746765,0.40352755784988403,0.6623027920722961
right_ear,0.2874823212623596,0.40681469440460205,0.5401873588562012
left_shoulder,0.5203938484191895,0.5548189282417297,0.5677642822265625
right_shoulder,0.2232774794101715,0.5756348371505737,0.6776731014251709
left_elbow,0.48352164030075073,0.822708249092102,0.38495880365371704
right_elbow,0.09266572445631027,0.7747542262077332,0.36404433846473694
left_wrist,0.28114837408065796,0.8653154373168945,0.2666963040828705
right_wrist,0.02415810525417328,0.850737452507019,0.1931542456150055
left_hip,0.4684891700744629,0.9119546413421631,0.30917584896087646
right_hip,0.27469003200531006,0.9035846590995789,0.45356765389442444
left_knee,0.30143627524375916,0.8518590927124023,0.11322855949401855
right_knee,0.05575856193900108,0.8474507331848145,0.038711436092853546
left_ankle,0.25287124514579773,0.8737041354179382,0.15034504234790802
right_ankle,0.25959622859954834,0.8738600611686707,0.17349565029144287
