keypoint,x,y,score
nose,0.4850768446922302,0.449821799993515,0.612129807472229
left_eye,0.5145386457443237,0.42703789472579956,0.6467553377151489
right_eye,0.4727112948894501,0.42421457171440125,0.697396993637085
left_ear,0.5671300292015076,0.4495962858200073,0.776172399520874
right_ear,0.4711930453777313,0.4366389214992523,0.5237893462181091
left_shoulder,0.6566102504730225,0.559570848941803,0.6111767292022705
right_shoulder,0.40440839529037476,0.5652202367782593,0.7330659627914429
left_elbow,0.6573889851570129,0.7740046381950378,0.4654264450073242
right_elbow,0.37410664558410645,0.7534975409507751,0.5069043040275574
left_wrist,0.5030314326286316,0.8638314604759216,0.2199845016002655
right_wrist,0.3695339858531952,0.8648619055747986,0.3054680824279785
left_hip,0.5913735628128052,0.8895856738090515,0.6317999958992004
right_hip,0.4300391376018524,0.8825671076774597,0.45592403411865234
left_knee,0.5591882467269897,0.9008687734603882,0.05180088058114052
right_knee,0.3453887104988098,0.8909589052200317,0.06250075995922089
left_ankle,0.4717451333999634,0.883686900138855,0.047110531479120255
right_ankle,0.40389639139175415,0.8956736326217651,0.03335407376289368
