keypoint,x,y,score
nose,0.39549821615219116,0.4507650136947632,0.5919359922409058
left_eye,0.42964836955070496,0.4209083318710327,0.4526306688785553
right_eye,0.3748496174812317,0.42361757159233093,0.4936065375804901
left_ear,0.4977421462535858,0.43858909606933594,0.5606790781021118
right_ear,0.36987707018852234,0.4414435029029846,0.5886676907539368
left_shoulder,0.5971801280975342,0.537125825881958,0.5591999888420105
right_shoulder,0.3228440284729004,0.5616869926452637,0.7303229570388794
left_elbow,0.6671048998832703,0.7772929072380066,0.41860976815223694
right_elbow,0.16689543426036835,0.7201026678085327,0.676571249961853
left_wrist,0.6090267300605774,0.886246919631958,0.13136455416679382
right_wrist,0.02891860529780388,0.8246583342552185,0.2942565679550171
left_hip,0.555669367313385,0.8935762643814087,0.4898012578487396
right_hip,0.37816566228866577,0.8760959506034851,0.5042213201522827
left_knee,0.5097551345825195,0.8425817489624023,0.15169963240623474
right_knee,0.27468985319137573,0.8447920083999634,0.09901637583971024
left_ankle,0.41700226068496704,0.8668314814567566,0.08100244402885437
right_ankle,0.3067161440849304,0.8632904887199402,0.08036201447248459
