keypoint,x,y,score
nose,0.3898314833641052,0.45482808351516724,0.6461432576179504
left_eye,0.42417487502098083,0.422660768032074,0.5904622077941895
right_eye,0.36894917488098145,0.425304651260376,0.6005003452301025
left_ear,0.49288737773895264,0.43772757053375244,0.630070686340332
right_ear,0.3642885088920593,0.4408666491508484,0.5541521906852722
left_shoulder,0.5893486142158508,0.5388108491897583,0.6267096996307373
right_shoulder,0.3156244158744812,0.5701549053192139,0.8035678267478943
left_elbow,0.6599708795547485,0.7787398099899292,0.3961872458457947
right_elbow,0.16203397512435913,0.7221156358718872,0.6720019578933716
left_wrist,0.5897413492202759,0.8822985887527466,0.07510218024253845
right_wrist,0.027004513889551163,0.8231114149093628,0.28958138823509216
left_hip,0.5594568252563477,0.8951859474182129,0.46568092703819275
right_hip,0.39008861780166626,0.885837972164154,0.5312023162841797
left_knee,0.4883976876735687,0.8410294055938721,0.14403961598873138
right_knee,0.2742269039154053,0.852146565914154,0.09712616354227066
left_ankle,0.4129776358604431,0.8690460920333862,0.06690535694360733
right_ankle,0.3030039668083191,0.8683363199234009,0.06812416017055511
