keypoint,x,y,score
nose,0.38805317878723145,0.453945517539978,0.678949236869812
left_eye,0.42302119731903076,0.42398905754089355,0.594075620174408
right_eye,0.36832448840141296,0.4259834885597229,0.6262649893760681
left_ear,0.49267780780792236,0.4423321485519409,0.7303432822227478
right_ear,0.3650193214416504,0.4435277581214905,0.6337490677833557
left_shoulder,0.5893654823303223,0.540844202041626,0.6489903926849365
right_shoulder,0.31386664509773254,0.5710360407829285,0.791415810585022
left_elbow,0.659904420375824,0.7792822122573853,0.42201459407806396
right_elbow,0.16393119096755981,0.7217493057250977,0.6826636791229248
left_wrist,0.5901155471801758,0.8858845233917236,0.09805051237344742
right_wrist,0.027299707755446434,0.821948230266571,0.3241387605667114
left_hip,0.5538185238838196,0.8955394625663757,0.4675389230251312
right_hip,0.3872070908546448,0.8782555460929871,0.49409833550453186
left_knee,0.4710516929626465,0.8423293828964233,0.18429185450077057
right_knee,0.27131032943725586,0.856235682964325,0.1050913855433464
left_ankle,0.41393160820007324,0.8689293265342712,0.07460203766822815
right_ankle,0.2855280339717865,0.8683087229728699,0.06706783175468445
