keypoint,x,y,score
nose,0.39012691378593445,0.45478391647338867,0.6471320986747742
left_eye,0.4244058132171631,0.42337119579315186,0.5502005219459534
right_eye,0.3686104714870453,0.4260868728160858,0.6258676648139954
left_ear,0.49231594800949097,0.4386800229549408,0.6819104552268982
right_ear,0.3644854426383972,0.44269776344299316,0.6188492178916931
left_shoulder,0.5907501578330994,0.5435507893562317,0.6875871419906616
right_shoulder,0.31359949707984924,0.5713468790054321,0.7997004985809326
left_elbow,0.6623414754867554,0.7777425646781921,0.5042536854743958
right_elbow,0.16192878782749176,0.7237677574157715,0.6529216170310974
left_wrist,0.5829228758811951,0.884962260723114,0.11437984555959702
right_wrist,0.023828648030757904,0.8338909149169922,0.3155655860900879
left_hip,0.5537642240524292,0.8993598818778992,0.41410985589027405
right_hip,0.37225279211997986,0.8868776559829712,0.550110399723053
left_knee,0.5067533254623413,0.8605262637138367,0.10913266241550446
right_knee,0.27244824171066284,0.8558456897735596,0.09968161582946777
left_ankle,0.4127497375011444,0.8752405643463135,0.050767190754413605
right_ankle,0.30957815051078796,0.8718960285186768,0.05092509835958481
