keypoint,x,y,score
nose,0.48318392038345337,0.45019611716270447,0.5435205101966858
left_eye,0.5137935280799866,0.4272245168685913,0.6782020926475525
right_eye,0.47264593839645386,0.4232730567455292,0.7062129378318787
left_ear,0.567537784576416,0.45076531171798706,0.7615790367126465
right_ear,0.47193726897239685,0.4349769949913025,0.48855072259902954
left_shoulder,0.6597465872764587,0.563339114189148,0.6622238159179688
right_shoulder,0.40323254466056824,0.562084972858429,0.704254686832428
left_elbow,0.6545333862304688,0.7793914675712585,0.46122223138809204
right_elbow,0.3742440342903137,0.7562061548233032,0.5251502990722656
left_wrist,0.5098476409912109,0.8684000372886658,0.2509571313858032
right_wrist,0.36551186442375183,0.8625931739807129,0.29356303811073303
left_hip,0.5889710187911987,0.8875837326049805,0.6447972655296326
right_hip,0.4271821975708008,0.8805932402610779,0.45492708683013916
left_knee,0.5557662844657898,0.899746835231781,0.05997872352600098
right_knee,0.33190232515335083,0.8792251944541931,0.048953376710414886
left_ankle,0.4755861461162567,0.8846580386161804,0.05274749919772148
right_ankle,0.4694947600364685,0.8916513919830322,0.03977910056710243
