FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,-0.0032059818040579557,0.726970911026001,0.08830388635396957,0.6210782527923584,0.09108291566371918,0.7672802209854126,0.01454862393438816,0.6559160947799683,0.019295867532491684,0.8149654269218445,0.027356114238500595,0.8638948202133179,0.021838203072547913,0.8602297306060791,0.28061550855636597,0.5934933423995972,0.19589385390281677,0.6165012717247009,0.08403007686138153,0.6959978342056274,0.08218386024236679,0.7589068412780762,0.17489378154277802,0.8252100348472595,0.2752797603607178,0.8091709613800049
1,0.03298145905137062,0.7559013366699219,0.12655431032180786,0.6390060186386108,0.1863020360469818,0.8136279582977295,0.01748465932905674,0.6917557120323181,0.018359296023845673,0.8349679708480835,0.09490453451871872,0.8651191592216492,0.02547573857009411,0.8620883822441101,0.27042287588119507,0.5870416164398193,0.19190403819084167,0.616095244884491,0.11648371070623398,0.6696544885635376,0.106543630361557,0.7180660963058472,0.2380845993757248,0.8043798208236694,0.2524318993091583,0.8262972831726074
2,-0.0007771290838718414,0.709100604057312,0.08403848111629486,0.6179687976837158,0.11904081702232361,0.7464661002159119,0.016485467553138733,0.6574993133544922,0.021966684609651566,0.8155797719955444,0.07278404384851456,0.8625887632369995,0.024701854214072227,0.8570789098739624,0.28544002771377563,0.6066784858703613,0.2105085551738739,0.6317405700683594,0.12468558549880981,0.6637625098228455,0.09695279598236084,0.7561484575271606,0.26636600494384766,0.7544090151786804,0.2763863801956177,0.802862286567688
3,-0.0007771290838718414,0.709100604057312,0.08403848111629486,0.6179687976837158,0.11904081702232361,0.7464661002159119,0.016485467553138733,0.6574993133544922,0.021966684609651566,0.8155797719955444,0.07278404384851456,0.8625887632369995,0.024701854214072227,0.8570789098739624,0.28544002771377563,0.6066784858703613,0.2105085551738739,0.6317405700683594,0.12468558549880981,0.6637625098228455,0.09695279598236084,0.7561484575271606,0.26636600494384766,0.7544090151786804,0.2763863801956177,0.802862286567688
4,-0.003446552436798811,0.7068690061569214,0.08492650091648102,0.5961191654205322,0.09534543007612228,0.7658815383911133,0.01594369113445282,0.635886549949646,0.01906411722302437,0.8157811164855957,0.06717771291732788,0.8636420965194702,0.02493654191493988,0.8567859530448914,0.2854727506637573,0.6279586553573608,0.21071776747703552,0.6498809456825256,0.12305067479610443,0.6644741296768188,0.09470807015895844,0.7505161762237549,0.2867421507835388,0.7705861926078796,0.254482626914978,0.8189445734024048
5,-0.003446552436798811,0.7068690061569214,0.08492650091648102,0.5961191654205322,0.09534543007612228,0.7658815383911133,0.01594369113445282,0.635886549949646,0.01906411722302437,0.8157811164855957,0.06717771291732788,0.8636420965194702,0.02493654191493988,0.8567859530448914,0.2854727506637573,0.6279586553573608,0.21071776747703552,0.6498809456825256,0.12305067479610443,0.6644741296768188,0.09470807015895844,0.7505161762237549,0.2867421507835388,0.7705861926078796,0.254482626914978,0.8189445734024048
6,0.03404639661312103,0.7564065456390381,0.1405460238456726,0.6475863456726074,0.18397383391857147,0.8148080706596375,0.030066296458244324,0.675795316696167,0.01656520366668701,0.835844874382019,0.09965049475431442,0.8649256229400635,0.024618253111839294,0.8609813451766968,0.27210620045661926,0.589464545249939,0.19400206208229065,0.6161807775497437,0.10594858974218369,0.6951993703842163,0.1353227198123932,0.7623468637466431,0.2993038296699524,0.7288535833358765,0.2563861012458801,0.8151984214782715
7,0.034672707319259644,0.7553834915161133,0.13992714881896973,0.646175742149353,0.1846408098936081,0.7925154566764832,0.032371826469898224,0.6742571592330933,0.016670551151037216,0.8369811773300171,0.025863973423838615,0.8652600049972534,0.02549111843109131,0.8631975054740906,0.27205321192741394,0.5863634347915649,0.19408194720745087,0.6157168745994568,0.10280077904462814,0.6926487684249878,0.10891596972942352,0.7161496877670288,0.30069276690483093,0.729012668132782,0.25174859166145325,0.8280364274978638
8,0.034672707319259644,0.7553834915161133,0.13992714881896973,0.646175742149353,0.1846408098936081,0.7925154566764832,0.032371826469898224,0.6742571592330933,0.016670551151037216,0.8369811773300171,0.025863973423838615,0.8652600049972534,0.02549111843109131,0.8631975054740906,0.27205321192741394,0.5863634347915649,0.19408194720745087,0.6157168745994568,0.10280077904462814,0.6926487684249878,0.10891596972942352,0.7161496877670288,0.30069276690483093,0.729012668132782,0.25174859166145325,0.8280364274978638
9,0.0037406019400805235,0.7312827110290527,0.12448974698781967,0.6342777609825134,0.15062014758586884,0.7864816188812256,0.016276773065328598,0.6736160516738892,0.016438033431768417,0.8162553310394287,0.09354209154844284,0.864233136177063,0.024080544710159302,0.8564869165420532,0.28349554538726807,0.5953479409217834,0.20925045013427734,0.6319335699081421,0.10314078629016876,0.6963505148887634,0.1109095960855484,0.7586878538131714,0.2684972286224365,0.7743269205093384,0.27204442024230957,0.8141658306121826
