keypoint,x,y,score
nose,0.2466362714767456,0.4398157000541687,0.5152689218521118
left_eye,0.2809412181377411,0.4022700786590576,0.5061290860176086
right_eye,0.22799617052078247,0.4087362289428711,0.5773328542709351
left_ear,0.36329180002212524,0.41076454520225525,0.7548474669456482
right_ear,0.23984067142009735,0.42061254382133484,0.5533098578453064
left_shoulder,0.4729325771331787,0.5531474351882935,0.6325024366378784
right_shoulder,0.20360997319221497,0.5884931087493896,0.7758245468139648
left_elbow,0.4667772948741913,0.8222835063934326,0.539481520652771
right_elbow,0.053990982472896576,0.7957655787467957,0.40633341670036316
left_wrist,0.2635720670223236,0.8753989934921265,0.3292767107486725
right_wrist,0.06081182882189751,0.8656599521636963,0.20763856172561646
left_hip,0.462868332862854,0.908157467842102,0.330814927816391
right_hip,0.2847191095352173,0.9003766775131226,0.3862924575805664
left_knee,0.349084734916687,0.8474419116973877,0.0913669541478157
right_knee,0.055061809718608856,0.8643873929977417,0.03795267269015312
left_ankle,0.2172144651412964,0.8811375498771667,0.06483565270900726
right_ankle,0.25635114312171936,0.8854511976242065,0.1348041445016861
