keypoint,x,y,score
nose,0.34479355812072754,0.4610023498535156,0.6051583290100098
left_eye,0.38026851415634155,0.43095478415489197,0.5952240824699402
right_eye,0.33104732632637024,0.4307776391506195,0.6169272661209106
left_ear,0.4623754918575287,0.4473905563354492,0.7575708031654358
right_ear,0.339353084564209,0.4406561851501465,0.4492083489894867
left_shoulder,0.5647222399711609,0.5514455437660217,0.44214025139808655
right_shoulder,0.29369843006134033,0.5796188712120056,0.7690843343734741
left_elbow,0.676886260509491,0.7680283784866333,0.24371150135993958
right_elbow,0.12431356310844421,0.7470942735671997,0.680407702922821
left_wrist,0.612786054611206,0.8644040822982788,0.14544138312339783
right_wrist,0.022462718188762665,0.8155484199523926,0.29490411281585693
left_hip,0.5483238101005554,0.9071833491325378,0.3540538549423218
right_hip,0.3681069314479828,0.9052486419677734,0.4306519031524658
left_knee,0.47142863273620605,0.8519148826599121,0.15775100886821747
right_knee,0.24933862686157227,0.8761788606643677,0.055535219609737396
left_ankle,0.46832889318466187,0.8703751564025879,0.18411874771118164
right_ankle,0.2825571894645691,0.8534356355667114,0.11806806176900864
