keypoint,x,y,score
nose,0.4818955063819885,0.45046180486679077,0.5102163553237915
left_eye,0.5123692154884338,0.4274381399154663,0.6942892074584961
right_eye,0.4718360900878906,0.4243919849395752,0.7322323322296143
left_ear,0.5676624774932861,0.4507046639919281,0.7603780627250671
right_ear,0.4734916388988495,0.435457319021225,0.520428478717804
left_shoulder,0.6598957180976868,0.5628920793533325,0.6379196047782898
right_shoulder,0.4082026481628418,0.5611869692802429,0.5142204165458679
left_elbow,0.6554298400878906,0.7747415900230408,0.4658760726451874
right_elbow,0.37572619318962097,0.7549461126327515,0.5436984896659851
left_wrist,0.5828931927680969,0.8824895620346069,0.22026169300079346
right_wrist,0.3726542592048645,0.8655418157577515,0.31663399934768677
left_hip,0.5925979614257812,0.8874392509460449,0.639431893825531
right_hip,0.4318701922893524,0.8793506026268005,0.5082783699035645
left_knee,0.5599948763847351,0.8967500925064087,0.061494793742895126
right_knee,0.352731317281723,0.8777667880058289,0.05409893020987511
left_ankle,0.4727974832057953,0.8864572048187256,0.06202098727226257
right_ankle,0.42705202102661133,0.8927149772644043,0.041197504848241806
