keypoint,x,y,score
nose,0.4729737937450409,0.44655531644821167,0.7031841278076172
left_eye,0.5051615834236145,0.4245859384536743,0.6109855771064758
right_eye,0.4676925539970398,0.4200492799282074,0.6513500809669495
left_ear,0.5623652935028076,0.4503852128982544,0.6508078575134277
right_ear,0.4726904332637787,0.43305012583732605,0.45041126012802124
left_shoulder,0.6538149118423462,0.5622584819793701,0.6459020376205444
right_shoulder,0.4018131494522095,0.5657997131347656,0.730443000793457
left_elbow,0.6528009176254272,0.7711560130119324,0.48062145709991455
right_elbow,0.3721662163734436,0.7506558299064636,0.43777158856391907
left_wrist,0.5071811079978943,0.8644981384277344,0.28768014907836914
right_wrist,0.35300546884536743,0.8668169975280762,0.3049315810203552
left_hip,0.5852401852607727,0.8883573412895203,0.6056987643241882
right_hip,0.42212098836898804,0.888297438621521,0.5985814332962036
left_knee,0.5388164520263672,0.8902918696403503,0.0602707676589489
right_knee,0.3298036754131317,0.878370463848114,0.047881726175546646
left_ankle,0.47254693508148193,0.8828946352005005,0.054443586617708206
right_ankle,0.40243422985076904,0.8969470858573914,0.0392775759100914
