keypoint,x,y,score
nose,0.18848145008087158,0.4546462297439575,0.49007856845855713
left_eye,0.2257988452911377,0.41666626930236816,0.40515729784965515
right_eye,0.17140448093414307,0.423397958278656,0.6205658912658691
left_ear,0.31703007221221924,0.4170447587966919,0.58747798204422
right_ear,0.19024121761322021,0.42954057455062866,0.6510125994682312
left_shoulder,0.4378553628921509,0.5509328842163086,0.6294878721237183
right_shoulder,0.1688470095396042,0.5943720936775208,0.6837874054908752
left_elbow,0.455985963344574,0.8299538493156433,0.4980577528476715
right_elbow,0.025446157902479172,0.8192519545555115,0.3851736783981323
left_wrist,0.26739585399627686,0.8761066198348999,0.18379679322242737
right_wrist,0.038680341094732285,0.8633714914321899,0.12495280057191849
left_hip,0.43244922161102295,0.9254319071769714,0.3225492238998413
right_hip,0.2664432227611542,0.9098426699638367,0.3769759237766266
left_knee,0.2943803668022156,0.8493447303771973,0.11071792989969254
right_knee,0.04131895676255226,0.8642433881759644,0.043538302183151245
left_ankle,0.1909809410572052,0.8863484263420105,0.03949463739991188
right_ankle,0.18705183267593384,0.8860775828361511,0.06734175980091095
