keypoint,x,y,score
nose,0.39005643129348755,0.4552174508571625,0.6267643570899963
left_eye,0.42420804500579834,0.4228804111480713,0.5685463547706604
right_eye,0.3684579133987427,0.42638978362083435,0.617813229560852
left_ear,0.4923652112483978,0.43865352869033813,0.6742007732391357
right_ear,0.3641204535961151,0.44367870688438416,0.6454021334648132
left_shoulder,0.5902767181396484,0.5409877300262451,0.6413393020629883
right_shoulder,0.31435471773147583,0.5697919130325317,0.7938369512557983
left_elbow,0.6619839668273926,0.7757041454315186,0.43073931336402893
right_elbow,0.15996211767196655,0.7220466136932373,0.6683603525161743
left_wrist,0.6089516282081604,0.885977029800415,0.14203423261642456
right_wrist,0.02696222811937332,0.8234336376190186,0.32258063554763794
left_hip,0.5534564256668091,0.8934879302978516,0.4630407392978668
right_hip,0.3858664929866791,0.8776113390922546,0.4760703444480896
left_knee,0.464094877243042,0.8285993933677673,0.21500633656978607
right_knee,0.27749189734458923,0.8491734266281128,0.10503503680229187
left_ankle,0.41080838441848755,0.8618850111961365,0.07526254653930664
right_ankle,0.33180946111679077,0.8673251867294312,0.07280761003494263
