keypoint,x,y,score
nose,0.3961508870124817,0.45155078172683716,0.5746398568153381
left_eye,0.43015021085739136,0.42104530334472656,0.47233179211616516
right_eye,0.3747636675834656,0.42335566878318787,0.4993037283420563
left_ear,0.49655410647392273,0.4393502473831177,0.511434018611908
right_ear,0.36926567554473877,0.4411599636077881,0.5967874526977539
left_shoulder,0.6020886898040771,0.5408114194869995,0.577335000038147
right_shoulder,0.3203641176223755,0.5604022145271301,0.7270761132240295
left_elbow,0.6675044894218445,0.7784046530723572,0.35793283581733704
right_elbow,0.16999225318431854,0.71666020154953,0.6878466010093689
left_wrist,0.6119609475135803,0.8858188390731812,0.09306943416595459
right_wrist,0.028786469250917435,0.8223006725311279,0.3311944305896759
left_hip,0.5587742328643799,0.8911082744598389,0.4972243010997772
right_hip,0.3895956873893738,0.8776907324790955,0.49984338879585266
left_knee,0.5084266662597656,0.8325607776641846,0.14154158532619476
right_knee,0.2724330723285675,0.8447927832603455,0.103050097823143
left_ankle,0.43216294050216675,0.8664845824241638,0.0816880390048027
right_ankle,0.30478525161743164,0.8645845651626587,0.08157995343208313
