FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.5922070741653442,0.3544902205467224,0.010329517722129821,0.6172683238983154,0.4052921533584595,0,0.625545084476471,0.4676368832588196,0.0034431725740432743,0.54840487241745,0.4019539952278137,0,0.5382750630378723,0.4693466126918793,0.0034431725740432743,0.647159218788147,0.5315762758255005,0.005164758861064911,0.5302966237068176,0.5192270278930664,0.0,0.6003069877624512,0.5363536477088928,-0.0017215862870216371,0.5603793859481812,0.538083553314209,-0.0017215862870216371,0.6052314043045044,0.6482549905776978,-0.0034431725740432743,0.5575017929077148,0.6478056311607361,-0.0034431725740432743,0.6200439929962158,0.7471691370010376,-0.0034431725740432743,0.557655394077301,0.750896155834198,-0.0034431725740432743
3,0.5917786955833435,0.35335835814476013,0.0104865163564682,0.6199081540107727,0.4065312147140503,0,0.6232864260673523,0.46885666251182556,0.0034955054521560672,0.5499980449676514,0.40198981761932373,0,0.5399570465087891,0.4675682485103607,0.0034955054521560672,0.6439625024795532,0.5331598520278931,0.005243258178234101,0.5316863059997559,0.5162326097488403,0.0,0.5989753007888794,0.5356060862541199,-0.0017477527260780336,0.5602966547012329,0.5362368822097778,-0.0017477527260780336,0.6047588586807251,0.6477392911911011,-0.0034955054521560672,0.5554275512695312,0.6461462378501892,-0.0034955054521560672,0.6190289855003357,0.7456167936325073,-0.0034955054521560672,0.5564395189285278,0.7493926286697388,-0.0034955054521560672
6,0.5915302038192749,0.353024959564209,0.010498371720314025,0.620224118232727,0.4059579372406006,0,0.6243855953216553,0.46653640270233154,0.0034994572401046754,0.5502349734306335,0.4020918011665344,0,0.5407389998435974,0.46709391474723816,0.0034994572401046754,0.6449654698371887,0.5358332991600037,0.005249185860157013,0.5333923697471619,0.5208122730255127,0.0,0.6004132032394409,0.5347994565963745,-0.0017497286200523377,0.5607433319091797,0.5351670384407043,-0.0017497286200523377,0.605729341506958,0.6470118165016174,-0.0034994572401046754,0.554829478263855,0.6459216475486755,-0.0034994572401046754,0.6191048622131348,0.7451480627059937,-0.0034994572401046754,0.5553548336029053,0.7479345798492432,-0.0034994572401046754
9,0.59104323387146,0.3533378839492798,0.010700297355651854,0.6203613877296448,0.4053060710430145,0,0.6246997117996216,0.46596091985702515,0.0035667657852172852,0.5490260720252991,0.401947945356369,0,0.539972186088562,0.4670490026473999,0.0035667657852172852,0.6446090936660767,0.5367012023925781,0.005350148677825928,0.5331632494926453,0.5215923190116882,0.0,0.600284218788147,0.5345768928527832,-0.0017833828926086426,0.5597823262214661,0.5355113744735718,-0.0017833828926086426,0.6054542064666748,0.6475619673728943,-0.0035667657852172852,0.5545836687088013,0.646715521812439,-0.0035667657852172852,0.6182210445404053,0.7453963756561279,-0.0035667657852172852,0.5546764135360718,0.7481691837310791,-0.0035667657852172852
12,0.5901589393615723,0.35275787115097046,0.010479390621185303,0.6179819107055664,0.4037218987941742,0,0.6272369623184204,0.4625506103038788,0.0034931302070617676,0.548119306564331,0.4028947055339813,0,0.5389981269836426,0.4674249589443207,0.0034931302070617676,0.6454793214797974,0.5333402156829834,0.005239695310592651,0.5296047925949097,0.5260624289512634,0.005239695310592651,0.6017115116119385,0.5380951166152954,-0.0017465651035308838,0.5603430271148682,0.5399519801139832,-0.0017465651035308838,0.6052713394165039,0.648922860622406,-0.0034931302070617676,0.5563052892684937,0.6472256183624268,-0.0034931302070617676,0.6194427609443665,0.747490644454956,-0.0034931302070617676,0.5564886331558228,0.7488737106323242,-0.0034931302070617676
15,0.589645266532898,0.3539385199546814,0.01042887568473816,0.6173179149627686,0.40411651134490967,0,0.6256983280181885,0.46128445863723755,0.0034762918949127197,0.5477920770645142,0.4023381173610687,0,0.5390840768814087,0.4674658179283142,0.0034762918949127197,0.6417733430862427,0.5277811288833618,0.0,0.5300121903419495,0.5259565114974976,0.00521443784236908,0.6014295816421509,0.538285493850708,-0.0017381459474563599,0.5601701140403748,0.540305495262146,-0.0017381459474563599,0.6048922538757324,0.6485462784767151,-0.0034762918949127197,0.5553917288780212,0.6473562717437744,-0.0034762918949127197,0.619257926940918,0.7474203109741211,-0.0034762918949127197,0.555870771408081,0.7488079071044922,-0.0034762918949127197
18,0.5907574892044067,0.35485002398490906,0.010440400242805481,0.6180136799812317,0.40576407313346863,0,0.6257745027542114,0.4663146436214447,0.003480133414268494,0.5484110116958618,0.4022563099861145,0,0.5392702221870422,0.46787965297698975,0.003480133414268494,0.6437197923660278,0.5317304730415344,0.005220200121402741,0.5321643352508545,0.523849368095398,0.005220200121402741,0.6015686988830566,0.5388931035995483,-0.001740066707134247,0.5624350309371948,0.5377928018569946,-0.001740066707134247,0.6046876907348633,0.6489677429199219,-0.003480133414268494,0.5554273128509521,0.6471737027168274,-0.003480133414268494,0.6192743182182312,0.7472750544548035,-0.003480133414268494,0.5554884076118469,0.7488133311271667,-0.003480133414268494
21,0.5909919738769531,0.3553391396999359,0.010633277893066406,0.6190381050109863,0.406058669090271,0,0.628396213054657,0.47003480792045593,0.003544425964355469,0.548149585723877,0.4017502963542938,0,0.5396814346313477,0.46923038363456726,0.003544425964355469,0.646205723285675,0.5362570881843567,0.005316638946533204,0.532119870185852,0.5236918926239014,0.005316638946533204,0.6018429398536682,0.5388514995574951,-0.0017722129821777345,0.5599401593208313,0.5407819747924805,-0.0017722129821777345,0.604854941368103,0.6521307229995728,-0.003544425964355469,0.5540854930877686,0.651002049446106,-0.003544425964355469,0.6196306347846985,0.7485721111297607,-0.003544425964355469,0.5547546148300171,0.7497235536575317,-0.003544425964355469
24,0.5881087779998779,0.35383281111717224,0.010890555381774901,0.6208153963088989,0.4059450626373291,0,0.6344337463378906,0.46949511766433716,0.003630185127258301,0.5482116937637329,0.40287038683891296,0,0.5386995673179626,0.4692757725715637,0.003630185127258301,0.6451575756072998,0.5288643836975098,0.0054452776908874515,0.5298827886581421,0.515421450138092,0.0054452776908874515,0.6040603518486023,0.5382792353630066,-0.0018150925636291504,0.5635025501251221,0.5405508875846863,-0.0018150925636291504,0.6053711175918579,0.6521691679954529,-0.003630185127258301,0.5572844743728638,0.6532540321350098,-0.003630185127258301,0.6209666132926941,0.7485560774803162,-0.003630185127258301,0.5554990768432617,0.7472853660583496,-0.003630185127258301
27,0.590007483959198,0.35436612367630005,0.011166206002235413,0.6209372878074646,0.40899139642715454,0,0.6373519897460938,0.4666370749473572,0.0037220686674118045,0.5464959144592285,0.40549248456954956,0,0.5294974446296692,0.47704559564590454,0.0037220686674118045,0.6636889576911926,0.5118794441223145,0.0055831030011177065,0.5090956687927246,0.5040004849433899,0.0055831030011177065,0.6054016947746277,0.5365872979164124,-0.0018610343337059022,0.5634872317314148,0.5388371348381042,-0.0018610343337059022,0.6050429940223694,0.6450129747390747,-0.0037220686674118045,0.5564842224121094,0.6491080522537231,-0.0037220686674118045,0.6210938096046448,0.7467977404594421,-0.0037220686674118045,0.5571634769439697,0.7534217834472656,-0.0037220686674118045
