keypoint,x,y,score
nose,0.3875947594642639,0.4535224437713623,0.6860542893409729
left_eye,0.42261600494384766,0.4222220778465271,0.5386384129524231
right_eye,0.36689311265945435,0.42539775371551514,0.650687575340271
left_ear,0.4926518201828003,0.4388667941093445,0.666263997554779
right_ear,0.3649730384349823,0.44257351756095886,0.6172559857368469
left_shoulder,0.590463399887085,0.5450392961502075,0.6819472908973694
right_shoulder,0.3143983781337738,0.570871889591217,0.7973493337631226
left_elbow,0.6604453325271606,0.7788383960723877,0.4498508870601654
right_elbow,0.15967649221420288,0.7240707874298096,0.6425197720527649
left_wrist,0.5872201919555664,0.8835508227348328,0.09041102230548859
right_wrist,0.02569872885942459,0.8240994215011597,0.28058329224586487
left_hip,0.5538601875305176,0.8933835029602051,0.4822539985179901
right_hip,0.3867037296295166,0.8780627250671387,0.49341079592704773
left_knee,0.46856069564819336,0.8356914520263672,0.18344712257385254
right_knee,0.2774174213409424,0.8520463705062866,0.1082581877708435
left_ankle,0.4125020503997803,0.866304874420166,0.07186249643564224
right_ankle,0.3091987371444702,0.86839359998703,0.053080372512340546
