FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.013046860694885254,0.3318929970264435,0.2958540618419647,0.2961047291755676,0.2859029471874237,0.6122437715530396,0.023570936173200607,0.3910481333732605,0.017085935920476913,0.5999485850334167,0.1838289499282837,0.7703312635421753,0.049248676747083664,0.7337796688079834,0.41851624846458435,0.633309006690979,0.23186944425106049,0.6599005460739136,0.2832992672920227,0.775342583656311,0.14226500689983368,0.7937368750572205,0.33746248483657837,0.8112442493438721,0.27961304783821106,0.7878166437149048
1,0.021983765065670013,0.3643445372581482,0.30118292570114136,0.28886136412620544,0.388526976108551,0.4868202805519104,0.03580255061388016,0.33446580171585083,0.025997750461101532,0.5253421068191528,0.29946085810661316,0.6327637434005737,0.03176940977573395,0.5750200748443604,0.4184533953666687,0.5991319417953491,0.21766984462738037,0.5860314965248108,0.1385011076927185,0.46058428287506104,0.0322665199637413,0.48746931552886963,0.1755513995885849,0.7862167358398438,0.150086909532547,0.7864195108413696
2,0.022897079586982727,0.3436982035636902,0.30353668332099915,0.2971130609512329,0.3394935131072998,0.5622988343238831,0.020166996866464615,0.3762500286102295,0.027438998222351074,0.5850005745887756,0.2479911744594574,0.6847378015518188,0.038428060710430145,0.6600081920623779,0.4030662775039673,0.6341630816459656,0.2176542729139328,0.6477286219596863,0.16977708041667938,0.5777764320373535,0.07371377944946289,0.584876537322998,0.21598052978515625,0.7014771699905396,0.22814616560935974,0.6814907789230347
3,0.024447448551654816,0.3334534168243408,0.29116106033325195,0.2858280539512634,0.3816726803779602,0.48950275778770447,0.0537511482834816,0.3371158540248871,0.04832146689295769,0.4940156936645508,0.21720759570598602,0.5194125175476074,0.02466977946460247,0.3709985613822937,0.41815316677093506,0.6005223393440247,0.23894089460372925,0.5834611058235168,0.1413746178150177,0.4609287977218628,0.04816531389951706,0.4896338880062103,0.17505185306072235,0.7864224910736084,0.15291567146778107,0.7860885858535767
4,0.0179495420306921,0.3249514102935791,0.29278114438056946,0.28992950916290283,0.37791264057159424,0.5030456185340881,0.029075801372528076,0.3351637125015259,0.04514027759432793,0.5337274670600891,0.27451205253601074,0.6354038715362549,0.05606500804424286,0.5580170750617981,0.4050496518611908,0.6136712431907654,0.2163531482219696,0.6205238699913025,0.18646357953548431,0.4004461169242859,0.049720048904418945,0.446520060300827,0.21794375777244568,0.7093846201896667,0.20101973414421082,0.7168420553207397
5,0.023338329046964645,0.32780903577804565,0.29109904170036316,0.2821592092514038,0.34382039308547974,0.481395423412323,0.0603337362408638,0.31860029697418213,0.046949468553066254,0.503787636756897,0.21762369573116302,0.5227918028831482,0.026919251307845116,0.4993077218532562,0.4178003966808319,0.5989282727241516,0.2403024286031723,0.5849732160568237,0.142682284116745,0.4691869914531708,0.04250884801149368,0.5008790493011475,0.1791301816701889,0.7820879220962524,0.15159490704536438,0.7835831046104431
6,0.017733227461576462,0.3185839056968689,0.2921605110168457,0.285441130399704,0.37442511320114136,0.4669973850250244,0.042973294854164124,0.3583923280239105,0.06354597210884094,0.5425723195075989,0.3376813530921936,0.5807896852493286,0.09192889928817749,0.578697144985199,0.39879661798477173,0.6057915687561035,0.24225711822509766,0.615760862827301,0.18825191259384155,0.6154191493988037,0.030012747272849083,0.6388735175132751,0.2080012857913971,0.762751579284668,0.16135603189468384,0.7886978983879089
7,0.020644698292016983,0.33869898319244385,0.30291661620140076,0.2956210672855377,0.3454807698726654,0.5086560249328613,0.06094379723072052,0.3333807587623596,0.053319692611694336,0.521786630153656,0.243896484375,0.6052921414375305,0.032442040741443634,0.5348379611968994,0.419440358877182,0.6113390326499939,0.23552587628364563,0.5987844467163086,0.13380852341651917,0.5187575221061707,0.030966609716415405,0.5328860282897949,0.16973482072353363,0.8005456328392029,0.13518387079238892,0.7882732152938843
8,0.02298750728368759,0.33012866973876953,0.29056596755981445,0.2808583974838257,0.34971508383750916,0.4943407475948334,0.038735803216695786,0.34191691875457764,0.043824344873428345,0.5312939882278442,0.24849393963813782,0.6051928997039795,0.03664982318878174,0.5334612727165222,0.405678927898407,0.6136013865470886,0.22107118368148804,0.6174444556236267,0.11888836324214935,0.4703480899333954,0.052423786371946335,0.5099474191665649,0.1987491101026535,0.7434076070785522,0.20104490220546722,0.7449404001235962
9,0.030807726085186005,0.3377341032028198,0.2894008457660675,0.28271031379699707,0.2484763115644455,0.46596652269363403,0.07604073733091354,0.3366281986236572,0.05779971927404404,0.5004063844680786,0.16767162084579468,0.5230497717857361,0.026600833982229233,0.36568042635917664,0.411973237991333,0.6023207902908325,0.23969778418540955,0.5837923288345337,0.13968142867088318,0.4759698808193207,0.047201331704854965,0.5223470330238342,0.19581441581249237,0.7628285884857178,0.16742448508739471,0.7843884229660034
