keypoint,x,y,score
nose,0.47766172885894775,0.4498542547225952,0.6016486883163452
left_eye,0.5105060935020447,0.426569402217865,0.7184233665466309
right_eye,0.47021031379699707,0.4215196371078491,0.638296365737915
left_ear,0.563965916633606,0.4527418315410614,0.6707856059074402
right_ear,0.47118720412254333,0.4334777593612671,0.43828094005584717
left_shoulder,0.6502364277839661,0.5595586895942688,0.6068163514137268
right_shoulder,0.4052886366844177,0.5685214996337891,0.7480044960975647
left_elbow,0.649814248085022,0.773775041103363,0.4348854720592499
right_elbow,0.37601321935653687,0.756714940071106,0.5276669263839722
left_wrist,0.5062551498413086,0.8668762445449829,0.26876911520957947
right_wrist,0.3516514301300049,0.8645293116569519,0.33458027243614197
left_hip,0.5879220962524414,0.8900629878044128,0.6103225350379944
right_hip,0.4283788800239563,0.8833110332489014,0.4254531264305115
left_knee,0.5346733927726746,0.8901554942131042,0.06378152966499329
right_knee,0.3312508463859558,0.8774885535240173,0.04932821914553642
left_ankle,0.47537732124328613,0.8890758752822876,0.061578523367643356
right_ankle,0.40131911635398865,0.8966289758682251,0.03541085869073868
