keypoint,x,y,score
nose,0.5349143743515015,0.1922551840543747,0.7455536127090454
left_eye,0.5671918392181396,0.16672492027282715,0.6635831594467163
right_eye,0.5247561931610107,0.1696617305278778,0.7099856734275818
left_ear,0.6240232586860657,0.18508020043373108,0.5700559020042419
right_ear,0.5325167179107666,0.18798750638961792,0.7020763754844666
left_shoulder,0.6995366811752319,0.30117422342300415,0.9450200796127319
right_shoulder,0.47363370656967163,0.3191297948360443,0.8689132928848267
left_elbow,0.789901852607727,0.46801865100860596,0.8948386311531067
right_elbow,0.41720184683799744,0.49667805433273315,0.8235389590263367
left_wrist,0.8791470527648926,0.6298342943191528,0.6973896622657776
right_wrist,0.3126535415649414,0.6096238493919373,0.6776467561721802
left_hip,0.6445981860160828,0.6577134132385254,0.768663763999939
right_hip,0.5029186010360718,0.6492086052894592,0.8464235663414001
left_knee,0.6608721613883972,0.8592480421066284,0.17830219864845276
right_knee,0.509170413017273,0.8643386363983154,0.15469586849212646
left_ankle,0.78469318151474,0.743623673915863,0.03207222372293472
right_ankle,0.47300004959106445,0.7466176748275757,0.04192732274532318
