keypoint,x,y,score
nose,0.4374532699584961,0.4144316613674164,0.49587762355804443
left_eye,0.4787207841873169,0.3818527162075043,0.5475937724113464
right_eye,0.43379339575767517,0.3821429908275604,0.6907170414924622
left_ear,0.568436324596405,0.40702924132347107,0.8208287954330444
right_ear,0.46663185954093933,0.3927817940711975,0.6052983403205872
left_shoulder,0.6697174310684204,0.5789275169372559,0.7346788048744202
right_shoulder,0.3667796850204468,0.5329961776733398,0.7857208251953125
left_elbow,0.6820608377456665,0.8418120741844177,0.6223002076148987
right_elbow,0.27305299043655396,0.7504987716674805,0.6044141054153442
left_wrist,0.6119513511657715,0.8891846537590027,0.13326352834701538
right_wrist,0.085964135825634,0.8721785545349121,0.591640830039978
left_hip,0.538773775100708,0.9364874362945557,0.4748536944389343
right_hip,0.3446395993232727,0.8980515003204346,0.5685142874717712
left_knee,0.3856767416000366,0.8597785234451294,0.11654119193553925
right_knee,0.11402635276317596,0.8875633478164673,0.11987467855215073
left_ankle,0.19491887092590332,0.883598268032074,0.03296273201704025
right_ankle,0.052153389900922775,0.8890111446380615,0.14187081158161163
