frame,keypoint,x,y,score
0,nose,0.16421306133270264,0.333071231842041,0.5776814222335815
0,left_eye,0.2013440579175949,0.2910255789756775,0.33038821816444397
0,right_eye,0.15239602327346802,0.3046592175960541,0.7161038517951965
0,left_ear,0.2924536466598511,0.27865779399871826,0.601874828338623
0,right_ear,0.17184790968894958,0.3052816390991211,0.6165949702262878
0,left_shoulder,0.41305360198020935,0.36131584644317627,0.6314742565155029
0,right_shoulder,0.15506118535995483,0.4327942132949829,0.8627065420150757
0,left_elbow,0.4577469527721405,0.6010826230049133,0.2760009169578552
0,right_elbow,0.07271131873130798,0.6456493139266968,0.64519202709198
0,left_wrist,0.3719979226589203,0.7779805064201355,0.1920679807662964
0,right_wrist,0.01153380423784256,0.7595957517623901,0.1393740177154541
0,left_hip,0.49932941794395447,0.6851358413696289,0.5338488817214966
0,right_hip,0.34128913283348083,0.7095439434051514,0.4971098303794861
0,left_knee,0.483248233795166,0.8602747917175293,0.29988861083984375
0,right_knee,0.2637171745300293,0.8566007018089294,0.13538967072963715
0,left_ankle,0.47121256589889526,0.835469126701355,0.14218230545520782
0,right_ankle,0.3577154874801636,0.8286408185958862,0.08850768208503723
1,nose,0.16075250506401062,0.3449743986129761,0.5857858061790466
1,left_eye,0.19096794724464417,0.3102191686630249,0.4417388141155243
1,right_eye,0.14809811115264893,0.3169606029987335,0.5357568264007568
1,left_ear,0.2902452051639557,0.28914639353752136,0.48516523838043213
1,right_ear,0.16357403993606567,0.3146510124206543,0.3887700140476227
1,left_shoulder,0.40624815225601196,0.3515196442604065,0.5672436356544495
1,right_shoulder,0.1509164571762085,0.42226678133010864,0.8060675859451294
1,left_elbow,0.48091548681259155,0.5150116086006165,0.4911956489086151
1,right_elbow,0.08331642299890518,0.6446787118911743,0.6749864816665649
1,left_wrist,0.27095162868499756,0.7509846687316895,0.24797484278678894
1,right_wrist,0.26594871282577515,0.7554682493209839,0.23000456392765045
1,left_hip,0.49518021941185,0.6622655987739563,0.5707021951675415
1,right_hip,0.3494831919670105,0.6894587278366089,0.5181146860122681
1,left_knee,0.4786335229873657,0.8649779558181763,0.30493098497390747
1,right_knee,0.2665331959724426,0.8616969585418701,0.11898858100175858
1,left_ankle,0.2794983386993408,0.8177556395530701,0.14949345588684082
1,right_ankle,0.30019479990005493,0.8381835222244263,0.09140580892562866
2,nose,0.17286072671413422,0.3372872769832611,0.6776931285858154
2,left_eye,0.20913547277450562,0.2976495027542114,0.470916211605072
