keypoint,x,y,score
nose,0.4114741086959839,0.4156802296638489,0.39010921120643616
left_eye,0.45914649963378906,0.3891255259513855,0.47611984610557556
right_eye,0.40156739950180054,0.3850710391998291,0.6580471992492676
left_ear,0.5367040634155273,0.4182804822921753,0.5728843808174133
right_ear,0.402545690536499,0.3945099711418152,0.532691478729248
left_shoulder,0.6335729956626892,0.5742701292037964,0.4819473922252655
right_shoulder,0.3419409990310669,0.5399811863899231,0.7681366205215454
left_elbow,0.5565255880355835,0.8175733089447021,0.3405393660068512
right_elbow,0.23306535184383392,0.7589375376701355,0.580987274646759
left_wrist,0.3284253478050232,0.8613747358322144,0.16541416943073273
right_wrist,0.17617808282375336,0.8603934049606323,0.09474679082632065
left_hip,0.5175914764404297,0.896944522857666,0.40484440326690674
right_hip,0.33700358867645264,0.8789544105529785,0.4147038459777832
left_knee,0.32955119013786316,0.839073121547699,0.1348639279603958
right_knee,0.17133216559886932,0.8572508692741394,0.07402105629444122
left_ankle,0.2871086001396179,0.8777984380722046,0.0895879715681076
right_ankle,0.30847376585006714,0.875802218914032,0.14737464487552643
