keypoint,x,y,score
nose,0.4768758714199066,0.44881725311279297,0.6087507605552673
left_eye,0.5103143453598022,0.42559489607810974,0.714593768119812
right_eye,0.47033822536468506,0.4213048219680786,0.6392548680305481
left_ear,0.5648466944694519,0.45111751556396484,0.7113565802574158
right_ear,0.47242146730422974,0.433547705411911,0.46547242999076843
left_shoulder,0.653662919998169,0.5619281530380249,0.6504515409469604
right_shoulder,0.40447184443473816,0.5661937594413757,0.7555203437805176
left_elbow,0.6512835621833801,0.7739343643188477,0.4302593767642975
right_elbow,0.37527692317962646,0.7550916075706482,0.5347568988800049
left_wrist,0.5541228652000427,0.8807541728019714,0.19903632998466492
right_wrist,0.3672277331352234,0.8657004237174988,0.30232900381088257
left_hip,0.5883961915969849,0.8852406740188599,0.6389934420585632
right_hip,0.4272039830684662,0.8792450428009033,0.4599597454071045
left_knee,0.5419443845748901,0.8999535441398621,0.0475330650806427
right_knee,0.33022835850715637,0.8757513761520386,0.052913960069417953
left_ankle,0.4749841094017029,0.8847736716270447,0.05524261295795441
right_ankle,0.404587984085083,0.8962281942367554,0.03719237446784973
