keypoint,x,y,score
nose,0.4894857406616211,0.4341033399105072,0.5951878428459167
left_eye,0.5196889042854309,0.41268354654312134,0.5823829174041748
right_eye,0.48019981384277344,0.4121282994747162,0.6641719341278076
left_ear,0.5825883746147156,0.4318642318248749,0.682598888874054
right_ear,0.48881202936172485,0.42104047536849976,0.6092849969863892
left_shoulder,0.6774260997772217,0.5698546767234802,0.6880648732185364
right_shoulder,0.4097849130630493,0.5507509112358093,0.6755369901657104
left_elbow,0.6539371013641357,0.784356951713562,0.42433449625968933
right_elbow,0.3721688389778137,0.7508475184440613,0.49052971601486206
left_wrist,0.4987649917602539,0.8620747923851013,0.319044291973114
right_wrist,0.37496429681777954,0.8717698454856873,0.2863762676715851
left_hip,0.5919979810714722,0.8887309432029724,0.6179022192955017
right_hip,0.4255678653717041,0.8787125945091248,0.42376580834388733
left_knee,0.5230448246002197,0.9009759426116943,0.04210474714636803
right_knee,0.33037275075912476,0.8758189678192139,0.0528087243437767
left_ankle,0.47417789697647095,0.8840488791465759,0.056039199233055115
right_ankle,0.4106072187423706,0.8976538181304932,0.04198923707008362
