FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.5134520530700684,0.35613664984703064,0.011957864463329314,0.5570619106292725,0.4090132415294647,0,0.5673034191131592,0.47216641902923584,0.003985954821109772,0.477342814207077,0.40975701808929443,0,0.4532749652862549,0.47683167457580566,0.003985954821109772,0.5756835341453552,0.5442460775375366,0.005978932231664658,0.44158196449279785,0.50910484790802,0.005978932231664658,0.5388293266296387,0.5450484752655029,-0.001992977410554886,0.4891683757305145,0.541825532913208,-0.001992977410554886,0.541601300239563,0.6533390879631042,-0.003985954821109772,0.4817175567150116,0.650982677936554,-0.003985954821109772,0.5460629463195801,0.7465823888778687,-0.003985954821109772,0.4771583676338196,0.7519476413726807,-0.003985954821109772
3,0.5130634307861328,0.35626089572906494,0.01207973062992096,0.5555001497268677,0.4088985323905945,0,0.5665833950042725,0.4719480872154236,0.00402657687664032,0.4749686121940613,0.40915796160697937,0,0.45424383878707886,0.475655198097229,0.00402657687664032,0.5735186338424683,0.5399886965751648,0.0,0.4417388439178467,0.503302276134491,0.0,0.5372234582901001,0.5453987121582031,-0.00201328843832016,0.49144285917282104,0.5426642894744873,-0.00201328843832016,0.5374107360839844,0.6513829231262207,-0.00402657687664032,0.48240309953689575,0.6501006484031677,-0.00402657687664032,0.5465661287307739,0.741818368434906,-0.00402657687664032,0.47750696539878845,0.7464301586151123,-0.00402657687664032
6,0.5133178234100342,0.35603272914886475,0.012024307250976562,0.5549636483192444,0.4084946811199188,0,0.5667349100112915,0.4721853733062744,0.004008102416992188,0.47480159997940063,0.4078880250453949,0,0.450880765914917,0.47939568758010864,0.004008102416992188,0.5732272863388062,0.5406214594841003,0.0,0.4449784457683563,0.5116629600524902,0.0,0.5385565161705017,0.5470263361930847,-0.002004051208496094,0.49133986234664917,0.5455247759819031,-0.002004051208496094,0.5439363718032837,0.6534793376922607,-0.004008102416992188,0.48323726654052734,0.6529945135116577,-0.004008102416992188,0.5472978353500366,0.7439535856246948,-0.004008102416992188,0.4785476624965668,0.7492601871490479,-0.004008102416992188
9,0.5130370855331421,0.3570726811885834,0.01210792064666748,0.5560784339904785,0.40852612257003784,0,0.5676476955413818,0.4703352153301239,0.004035973548889161,0.4753589630126953,0.407762736082077,0,0.45519742369651794,0.47435933351516724,0.004035973548889161,0.5781004428863525,0.5351152420043945,0.006053960323333741,0.4404406249523163,0.5069231986999512,0.006053960323333741,0.5386301875114441,0.5455064177513123,-0.0020179867744445803,0.49052199721336365,0.5435438752174377,-0.0020179867744445803,0.5400905609130859,0.6526212096214294,-0.004035973548889161,0.4834979474544525,0.6535276174545288,-0.004035973548889161,0.5486854910850525,0.7447556853294373,-0.004035973548889161,0.47723421454429626,0.7487637996673584,-0.004035973548889161
12,0.51286780834198,0.3591024577617645,0.011417806148529053,0.5549778938293457,0.4142319858074188,0,0.5821143984794617,0.4760745167732239,0.0038059353828430176,0.47885918617248535,0.4167495369911194,0,0.4537067413330078,0.47407543659210205,0.0038059353828430176,0.5948100686073303,0.5221325159072876,0.005708903074264526,0.41422972083091736,0.5023285746574402,0.005708903074264526,0.5408244132995605,0.547823429107666,-0.0019029676914215088,0.4942830204963684,0.5462465286254883,-0.0019029676914215088,0.5414959192276001,0.6492539048194885,-0.0038059353828430176,0.4801931381225586,0.647487461566925,-0.0038059353828430176,0.547642707824707,0.74333655834198,-0.0038059353828430176,0.4793892502784729,0.7496484518051147,-0.0038059353828430176
15,0.5096490979194641,0.36123722791671753,0.010423073172569275,0.5483881235122681,0.4121934771537781,0,0.5946370363235474,0.4485795199871063,0.0034743577241897585,0.4789009690284729,0.41032907366752625,0,0.4280726909637451,0.4484301507472992,0.0034743577241897585,0.6203733682632446,0.4336563050746918,0.005211536586284638,0.38592731952667236,0.4423202872276306,0.005211536586284638,0.540381133556366,0.5452433228492737,-0.0017371788620948792,0.49359530210494995,0.5453922748565674,-0.0017371788620948792,0.5423164367675781,0.6451539397239685,-0.0034743577241897585,0.49084436893463135,0.6409957408905029,-0.0034743577241897585,0.5499131679534912,0.742649495601654,-0.0034743577241897585,0.4833570718765259,0.7495197653770447,-0.0034743577241897585
18,0.5072522759437561,0.3641536831855774,0.011907783150672912,0.5530356764793396,0.4121055603027344,0,0.6012929677963257,0.4120630919933319,0.003969261050224305,0.4736504554748535,0.40845176577568054,0,0.41235193610191345,0.4088618755340576,0.003969261050224305,0.6417415738105774,0.35983332991600037,0.005953891575336457,0.3722756505012512,0.3646251857280731,0.005953891575336457,0.5405364036560059,0.5396190285682678,-0.0019846305251121524,0.49342796206474304,0.542513906955719,-0.0019846305251121524,0.5419121980667114,0.6416854858398438,-0.003969261050224305,0.48554593324661255,0.641767144203186,-0.003969261050224305,0.5521893501281738,0.7413966059684753,-0.003969261050224305,0.4784545600414276,0.7465884685516357,-0.003969261050224305
21,0.5090060234069824,0.36060795187950134,0.010306808352470397,0.5503087639808655,0.40029263496398926,0,0.6156640648841858,0.3760940730571747,0.0034356027841567997,0.4815967082977295,0.39915376901626587,0,0.4161618947982788,0.3811069428920746,0.0034356027841567997,0.625724196434021,0.3172537088394165,0.0051534041762351995,0.38501256704330444,0.3181874752044678,0.0051534041762351995,0.5398401021957397,0.5352152585983276,-0.0017178013920783998,0.49289780855178833,0.5377099514007568,-0.0017178013920783998,0.5456703901290894,0.6405798196792603,-0.0034356027841567997,0.48128485679626465,0.643480658531189,-0.0034356027841567997,0.5476140975952148,0.7381845712661743,-0.0034356027841567997,0.47516852617263794,0.7458310127258301,-0.0034356027841567997
24,0.5095085501670837,0.3530544638633728,0.01201646625995636,0.5532809495925903,0.39233362674713135,0,0.605474054813385,0.3654955327510834,0.0040054887533187864,0.4731711745262146,0.39197632670402527,0,0.42673763632774353,0.3595547080039978,0.0040054887533187864,0.6203440427780151,0.28504565358161926,0.006008233129978179,0.39600929617881775,0.291309118270874,0.006008233129978179,0.5355918407440186,0.5266953110694885,-0.0020027443766593932,0.48910701274871826,0.5290958285331726,-0.0020027443766593932,0.5435670614242554,0.6407516002655029,-0.0040054887533187864,0.47745734453201294,0.6432581543922424,-0.0040054887533187864,0.5505615472793579,0.7394129037857056,-0.0040054887533187864,0.47010061144828796,0.7420153617858887,-0.0040054887533187864
27,0.5103491544723511,0.35129687190055847,0.012096002697944641,0.556879997253418,0.39188748598098755,0,0.5943623781204224,0.3523719906806946,0.00403200089931488,0.47623997926712036,0.39191144704818726,0,0.4409788250923157,0.35887593030929565,0.00403200089931488,0.6107226610183716,0.27942967414855957,0.0060480013489723206,0.4104878306388855,0.292684942483902,0.0060480013489723206,0.5393885374069214,0.5303102135658264,-0.00201600044965744,0.4921017587184906,0.5289838910102844,-0.00201600044965744,0.5441756248474121,0.6427891850471497,-0.00403200089931488,0.48007091879844666,0.6449460983276367,-0.00403200089931488,0.5522856116294861,0.7428180575370789,-0.00403200089931488,0.47245603799819946,0.7490694522857666,-0.00403200089931488
