keypoint,x,y,score
nose,0.48134303092956543,0.4501422345638275,0.4910430610179901
left_eye,0.5121653079986572,0.42713069915771484,0.7166656851768494
right_eye,0.4715746343135834,0.42336738109588623,0.7063632011413574
left_ear,0.5665643215179443,0.45203936100006104,0.7453274726867676
right_ear,0.4735439717769623,0.43506619334220886,0.4881438612937927
left_shoulder,0.6553847789764404,0.5615212917327881,0.6149564385414124
right_shoulder,0.4046534299850464,0.5635175704956055,0.7067489624023438
left_elbow,0.6565736532211304,0.767076849937439,0.3994613587856293
right_elbow,0.37249037623405457,0.7504770755767822,0.5010605454444885
left_wrist,0.5069926977157593,0.8607209920883179,0.23348338901996613
right_wrist,0.3540782630443573,0.8666211366653442,0.3193909823894501
left_hip,0.5924674868583679,0.8896961212158203,0.6234457492828369
right_hip,0.42948615550994873,0.881938099861145,0.46251779794692993
left_knee,0.5541255474090576,0.8898382186889648,0.08521628379821777
right_knee,0.333662748336792,0.8780664801597595,0.051108237355947495
left_ankle,0.46838197112083435,0.8819222450256348,0.061442479491233826
right_ankle,0.42003709077835083,0.8901875019073486,0.044652681797742844
