keypoint,x,y,score
nose,0.2093949019908905,0.44603320956230164,0.5052334070205688
left_eye,0.24534451961517334,0.4077913165092468,0.581132173538208
right_eye,0.18649113178253174,0.41710448265075684,0.5670582056045532
left_ear,0.3296389579772949,0.41350263357162476,0.50601726770401
right_ear,0.19259998202323914,0.4309711158275604,0.6328814029693604
left_shoulder,0.4493400752544403,0.548785924911499,0.5864497423171997
right_shoulder,0.17651520669460297,0.5953688621520996,0.7934364676475525
left_elbow,0.4459771513938904,0.8204629421234131,0.4389132261276245
right_elbow,0.046885475516319275,0.8115935325622559,0.33278101682662964
left_wrist,0.2734850347042084,0.8661432266235352,0.25279173254966736
right_wrist,0.031434014439582825,0.8579692244529724,0.18617920577526093
left_hip,0.44438228011131287,0.9118183851242065,0.3389390707015991
right_hip,0.2831810414791107,0.9107301235198975,0.4385038912296295
left_knee,0.3560904860496521,0.8483495712280273,0.12930616736412048
right_knee,0.08590256422758102,0.882866382598877,0.03316892310976982
left_ankle,0.24255584180355072,0.8847823143005371,0.04033045470714569
right_ankle,0.20736365020275116,0.8841087222099304,0.06476864218711853
